University Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc
University of Oklahoma,No,4743,3970,2233,32,63
University of Portland,Yes,1758,1485,419,27,58
University of Puget Sound,Yes,4044,2826,688,51,83
University of Richmond,Yes,5892,2718,756,46,72
University of San Diego,Yes,3934,2735,886,40,70
University of San Francisco,Yes,2306,1721,538,23,48
University of Sci. and Arts of Oklahoma,No,285,280,208,21,43
University of Scranton,Yes,4471,2942,910,29,60
University of South Carolina at Aiken,No,848,560,377,14,24
University of South Florida,No,7589,4676,1876,29,63
University of Southern Colorado,No,1401,1239,605,10,34
University of Southern Indiana,No,2379,2133,1292,8,25
University of Southern Mississippi,No,2850,2044,1046,20,50
University of St. Thomas MN,Yes,2057,1807,828,26,53
University of St. Thomas TX,Yes,374,280,185,45,77
University of Texas at Arlington,No,3281,2559,1448,19,43
University of Texas at San Antonio,No,4217,3100,1686,17,46
University of the Arts,Yes,974,704,290,5,22
University of the Pacific,Yes,2459,1997,582,36,66
University of the South,Yes,1445,966,326,46,83
University of Tulsa,Yes,1712,1557,696,41,68
University of Utah,No,5095,4491,2400,27,53
University of West Florida,No,1558,1254,472,20,57
University of Wisconsin-Stout,No,2593,1966,1030,9,32
University of Wisconsin-Superior,No,910,910,342,14,53
University of Wisconsin-Whitewater,No,4400,3719,1472,12,38
University of Wisconsin at Green Bay,No,2409,1939,759,17,50
University of Wisconsin at Milwaukee,No,5244,3782,1930,12,37
University of Wyoming,No,2029,1516,1073,23,46
Upper Iowa University,Yes,663,452,192,10,35
Ursinus College,Yes,1399,1026,308,44,77
Ursuline College,Yes,325,260,86,21,47
Valley City State University,No,368,344,212,5,27
Valparaiso University,Yes,2075,1727,520,49,81
Vanderbilt University,Yes,7791,4690,1499,71,92
Vassar College,Yes,3550,1877,653,53,87
Virginia Commonwealth University,No,4963,3497,1567,18,45
Virginia State University,No,2996,2440,704,2,30
Virginia Union University,Yes,1847,1610,453,19,59
Virginia Wesleyan College,Yes,1470,900,287,20,49
Viterbo College,Yes,647,518,271,17,43
Voorhees College,Yes,1465,1006,188,10,30
Wabash College,Yes,800,623,256,41,76
Wagner College,Yes,1416,1015,417,10,44
Wake Forest University,Yes,5661,2392,903,75,88
Walsh University,Yes,1092,890,477,27,92
Warren Wilson College,Yes,440,311,112,25,49
Wartburg College,Yes,1231,1074,345,34,66
Washington and Jefferson College,Yes,1305,1100,334,42,64
Washington and Lee University,Yes,3315,1096,425,68,93
Washington College,Yes,1209,942,214,31,60
Wayne State College,No,1373,1373,724,6,21
Waynesburg College,Yes,1190,978,324,12,30
Webber College,Yes,280,143,79,5,27
Webster University,Yes,665,462,226,17,44
Wellesley College,Yes,2895,1249,579,80,96
Wells College,Yes,318,240,130,40,85
Wentworth Institute of Technology,Yes,1480,1257,452,6,25
Wesley College,Yes,980,807,350,10,25
Wesleyan University,Yes,4772,1973,712,60,86
West Chester University of Penn.,No,6502,3539,1372,11,51
West Liberty State College,No,1164,1062,478,12,25
West Virginia Wesleyan College,Yes,1566,1400,483,28,55
Western Carolina University,No,3224,2519,1057,11,31
Western Maryland College,Yes,1205,984,278,31,50
Western New England College,Yes,1650,1471,409,7,21
Western State College of Colorado,No,2702,1623,604,7,24
Western Washington University,No,5548,3563,1549,30,71
Westfield State College,No,3100,2150,825,3,20
Westminster College MO,Yes,662,553,184,20,43
Westminster College,Yes,996,866,377,29,58
Westminster College of Salt Lake City,Yes,917,720,213,21,60
Westmont College,No,950,713,351,42,72
Wheaton College IL,Yes,1432,920,548,56,84
Westminster College PA,Yes,1738,1373,417,21,55
Wheeling Jesuit College,Yes,903,755,213,15,49
Whitman College,Yes,1861,998,359,45,77
Whittier College,Yes,1681,1069,344,35,63
Whitworth College,Yes,1121,926,372,43,70
Widener University,Yes,2139,1492,502,24,64
Wilkes University,Yes,1631,1431,434,15,36
Willamette University,Yes,1658,1327,395,49,80
William Jewell College,Yes,663,547,315,32,67
William Woods University,Yes,469,435,227,17,39
Williams College,Yes,4186,1245,526,81,96
Wilson College,Yes,167,130,46,16,50
Wingate College,Yes,1239,1017,383,10,34
Winona State University,No,3325,2047,1301,20,45
Winthrop University,No,2320,1805,769,24,61
Wisconsin Lutheran College,Yes,152,128,75,17,41
Wittenberg University,Yes,1979,1739,575,42,68
Wofford College,Yes,1501,935,273,51,83
Worcester Polytechnic Institute,Yes,2768,2314,682,49,86
Worcester State College,No,2197,1515,543,4,26
Xavier University,Yes,1959,1805,695,24,47
Xavier University of Louisiana,Yes,2097,1915,695,34,61
Yale University,Yes,10705,2453,1317,95,99
York College of Pennsylvania,Yes,2989,1855,691,28,63
